Address,Tinh,Huyen,Xa,ThoiGian
" Huyện Cẩm Thủy Tỉnh Thanh Hóa","Thanh Hóa","Cẩm Thủy","","0.016948"
" Chợ Chu, , T Thái Nguyên","Thái Nguyên","","Chợ Chu","0.018024"
"XKHoan Sơn,TiênDu,Tỉnhbac Ninh","Bắc Ninh","Từ Sơn","","0.016002"
"X.Hòa Trị Huzyen hú Hoa TPhú Yên","Phú Yên","Phú Hoà","","0.016001"
"Thị Trấn Yên Bình  Yên Bình T Yên Bái","Yên Bái","Yên Bình","Yên Bình","0.017"
"X.Yên Phong  Tỉnh Bắc Kạn","Bắc Kạn","","Yên Phong","0.016"
"Liên Minh,,TỉnhThái Nguyên","Thái Nguyên","","Liên Minh","0.01599"
"Nậm Cha Sìn Hổ, Lai Châu","Lai Châu","Sìn Hồ","Nậm Cha","0.015636"
",H.Hoài ân,TBình Dịnh","Bình Định","Hoài Ân","","0.016678"
"F.07, Q6, ","","Sa Pa","Sa Pả","0.023992"
", H Nam Trực, Nam Đị8nh","Nam Định","Nam Trực","","0.017063"
",H.Nqm Đàn, nghệ An","Nghệ An","Nam Đàn","","0.019019"
"Thôn Lùng Bẻ Kim Linh, Vị Xuyên, Hà Giang","Hà Giang","Vị Xuyên","Kim Linh","0.015683"
"46/8F Trung Chánh 2 Trung Chánh, Hóc Môn, TP. Hồ Chí Minh","Hồ Chí Minh","Hóc Môn","Trung Chánh","0.016001"
"Yên Bình, H fHữu Lũng, Lạng Sơn","Lạng Sơn","Hữu Lũng","Yên Bình","0.018006"
"Phường Lê Hồng Phong Tp. Quy Nhơn, tỉnh Bình Định.","Bình Định","Quy Nhơn","Lê Hồng Phong","0.016"
"Ấp Thạnh Hiệp Hòa Thạnh, Tam Bình, Vĩnh Long","Vĩnh Long","Tam Bình","Hòa Thạnh","0.017003"
"Chiêu Yên Yên Sơn, Tuyên Quang","Tuyên Quang","Yên Sơn","Chiêu Yên","0.017682"
"XThạnh Đức, HGò Dầ6u, T Tây Ninh","Tây Ninh","Gò Dầu","Thạnh Đức","0.016002"
"Phú Lộc Phú Thạnh, Phú Tân, An Giang","An Giang","Phú Tân","Phú Thành","0.015"
"F2B PhanVănTr P.5,GV,TP.Hồ Chí Minh","Hồ Chí Minh","Gò Vấp","05","0.016094"
"D2, Thạnh Lợi, Vĩnh Thạnh Cần Thơ","Cần Thơ","Vĩnh Thạnh","Thạnh Lợi","0.015"
"Khu 5, Ngô Quyền, Vĩnh Yên Vĩnh Phúc","Vĩnh Phúc","Vĩnh Yên","Ngô Quyền","0.018024"
"Tường Ngãi Nhơn Bình,Trà Ôn, Vĩnh Long","Vĩnh Long","Trà Ôn","Nhơn Bình","0.016682"
"P.Phan thiết, Thị Xã Tuyên Quang, Tuyên Quang","Tuyên Quang","Tuyên Quang","Phan Thiết","0.017607"
"Tân Thắng Tân An Hội, Mang Thít, Vĩnh Long","Vĩnh Long","Mang Thít","Tân An Hội","0.017004"
"161/18A Cô Giang, Cô Giang Quận 1, TP. Hồ Chí Minh","Hồ Chí Minh","1","Cô Giang","0.01706"
" T.P Phan Rang-Tháp lhàm  Ninh Thuận","Ninh Thuận","Phan Rang-Tháp Chàm","","0.016099"
"Van Điểm, H hường TLín, Thành phốHa Nội","Hà Nội","Nam Từ Liêm","Cầu Diễn","0.016"
",  Ba Vì, TP Hà Nội","Hà Nội","Ba Vì","","0.015001"
"Ngọc Chi, Vĩnh Ngọc Đông Anh, Hà Nội","Hà Nội","Đông Anh","Vĩnh Ngọc","0.018537"
"XCư Drămb H.Krông Bông ","","Krông Bông","Cư Drăm","0.025"
"thôn 2 Suối Rao, Châu Đức, Bà Rịa - Vũng Tàu","Bà Rịa - Vũng Tàu","Châu Đức","Suối Rao","0.017084"
"FHim Lam   Điện Biê","Điện Biên","","Him Lam","0.017729"
"Thạch Bình, Thạch Thành Thanh Hóa","Thanh Hóa","Thạch Thành","Thạch Bình","0.018505"
"XãĐông h KBang TGia Lai","Gia Lai","KBang","Đông","0.016479"
"TT. Phù Mỹ Phù Mỹ, Bình Định","Bình Định","Phù Mỹ","Phù Mỹ","0.014998"
"Thôn Chua Bình Minh, Thanh Oai, Hà Nội","Hà Nội","Thanh Oai","Bình Minh","0.016002"
"Thôn Lý Viên Bắc Lý, Hiệp Hòa, Bắc Giang","Bắc Giang","Hiệp Hòa","Bắc Lý","0.018976"
"L10C12 Hẻm 90, Ng, Bỉnh Khiêm, TP. Rạch Giá, Kiên Giang","Kiên Giang","Rạch Giá","Vĩnh Hiệp","0.019178"
"Khu 1, Trung Giáp, Phù Ninh, Phú Thọ.","Phú Thọ","Phù Ninh","Trung Giáp","0.022913"
"Đăk Nang H. Krông Nô TĐắk Nông","Đắk Nông","Krông Nô","Đắk Nang","0.01533"
"Thôn Am, xã Xuân Hương, Lạng Giang, Bắc Giang.","Bắc Giang","Lạng Giang","Xuân Hương","0.018662"
"Tông Lạnh H.Thuận Chru TSơn La","Sơn La","Thuận Châu","Tông Lạnh","0.014989"
"55/21/1 Khu phố 2, Thới An Quận 12, TP. Hồ Chí Minh","Hồ Chí Minh","12","Thới An","0.01849"
"51 Phạm Ngũ Lão, Lê Lợi Sơn Tây, Hà Nội","Hà Nội","Sơn Tây","Lê Lợi","0.018979"
"Thị trấn Tân Phong, , TThanh Hóa","Thanh Hóa","","Tân Phong","0.017003"
"24/98C, Phố Hữu Nghị Xuân Khanh, Sơn Tây, Hà Nội","Hà Nội","Sơn Tây","Xuân Khanh","0.018"
"Xã Quang Tiếns6 Tân Yên, ","","Tân Yên","Quang Tiến","0.022"
"Thôn Mùi, Bích Hòa Thanh Oai, Hà Nội","Hà Nội","Thanh Oai","Bích Hòa","0.022457"
"Tân Trung Tân Thành, Tân Châu, Tây Ninh","Tây Ninh","Tân Châu","Tân Thành","0.017998"
"Sơn Thủy, Lệ Thủy Quảng Bình","Quảng Bình","Lệ Thủy","Sơn Thủy","0.018598"
"Liên Bình, Hải Bình Tĩnh Gia, Thanh Hóa","Thanh Hóa","","Hải Bình","0.024055"
"249,KP.2,Tân mai,Biên Hòa, Đồng Nai","Đồng Nai","Biên Hòa","Tân Mai","0.018419"
" Minh Tân,h.Lưng Tai,","","Lương Tài","Minh Tân","0.029981"
" Ea Kmút,hyệnea Kar,Tỉnwh Đắk Lắk","Đắk Lắk","Ea Kar","Ea Kmút","0.016007"
"XãV Ninh, Kiên Xương,","","Kiến Xương","Vũ Ninh","0.023013"
"X. Diễn Thành Huyện Diên Châu ","","Diễn Châu","Diễn Thành","0.023"
"P. Nghi Hương Thị xã Cửa Lò, Nghệ An","Nghệ An","Cửa Lò","Nghi Hương","0.01599"
"Phố 2, Vân Giang Thành phố Ninh Bình, Ninh Bình","Ninh Bình","Ninh Bình","Vân Giang","0.018002"
"Phường Hoài Hảo,T.Xã.Hoai Nhơn,TBình Đinh","Bình Định","Hoài Nhơn","Hoài Hảo","0.017553"
"8 Trịnh Văn Cấn P.C-Ô-Lãnh, Q.1, TP. Hồ Chí Minh","Hồ Chí Minh","1","Cầu Ông Lãnh","0.017692"
"XãGia Vượng, Gia Viễn, ","","Gia Viễn","Gia Vượng","0.023007"
"Khu phố 4 Thị trấn, Dương Minh Châu, Tây Ninh","Tây Ninh","Dương Minh Châu","","0.016"
"X.SRó  Kông Chro T.Gia Lai","Gia Lai","Kông Chro","SRó","0.016"
"XãBình Chau,  Bình Sơn, Tỉnh Quảng Ngãi","Quảng Ngãi","Bình Sơn","Bình Châu","0.022467"
" Hợp đức, , Tp Hải Phòng","Hải Phòng","","Hợp Đức","0.016513"
"Xã Nâm Ntừ  Nậm Pồ ","Hà Nội","","La Phù","0.017506"
"Tiểu khu 3, thị trấn Ba Hàng, huyện Phổ Yên, tỉnh Thái Nguyên.","Thái Nguyên","Phổ Yên","Ba Hàng","0.016911"
"X. Quế Minh,HZuyện Quế Sơn,TỉnhQuảng Nam","Quảng Nam","Quế Sơn","Quế Minh","0.015008"
"Xã Bồng Khê Huyện Con Cuông, Nghệ An","Nghệ An","Con Cuông","Bồng Khê","0.015001"
",  Mỹ Đức, HàNội","Hà Nội","Mỹ Đức","","0.016"
"PHoà Quý Q.ngũ Hành sơn Đà Nẵng","Đà Nẵng","Ngũ Hành Sơn","Hoà Quý","0.014983"
"TT Qu7 Nhất,,Tỉnh Nam Định","Nam Định","","Quỹ Nhất","0.016996"
"Khóm 1 TT Càng Long, Càng Long, Trà Vinh","Trà Vinh","Càng Long","Càng Long","0.016161"
"191A Nguyễn Thị Định An Phú, Quận 2, Tp Hồ Chí Minh","Hồ Chí Minh","","02","0.017094"
"X An Đức, Huyên Ninh Giang, T.Hải Dương","Hải Dương","Ninh Giang","An Đức","0.014917"
"Số 10, Ngách 43/3, Ngõ 43 Nguyễn Ngọc Nại, Khương Mai, Thanh Xuân, Hà Nội.","Hà Nội","Thanh Xuân","Khương Mai","0.018043"
"59/12 Ng-B-Khiêm, Đa Kao Quận 1, TP. Hồ Chí Minh","Hồ Chí Minh","1","Đa Kao","0.016"
"Phường Định Công, Quận Hoàng Mai, Thành phố Hà Nội","Hà Nội","Hoàng Mai","Định Công","0.019905"
"X Sùng Phài T.P zai Châu T.Lai Châu","Lai Châu","Lai Châu","Sùng Phài","0.015"
",Bảo Lâ.,Tỉnh Cao Bằng","Cao Bằng","Bảo Lạc","","0.016005"
"X. Tam Đồng,HuyệnMê Linh,T.Phw HàNoi","Hà Nội","Mê Linh","Tam Đồng","0.015513"
"P.tự Anm T.PhốBuôn Ma Thuột, T. Đắk Lăk","Đắk Lắk","Buôn Ma Thuột","Tự An","0.01652"
"Tổ 2, Khu phố 2, Phường Long Thủy, Phước Long, Bình Phước.","Bình Phước","Phước Long","Long Thủy","0.018"
"Ấp Phú Hữu Hữu Định, Châu Thành, Bến Tre","Bến Tre","Châu Thành","Hữu Định","0.015006"
"Xã Minh Đạo, Huyện Tiên Du, Tỉnh Bắc Ninh","Bắc Ninh","Tiên Du","Minh Đạo","0.016013"
"Chùa hà, Định Trung, Vĩnh Yên Vĩnh Phúc","Vĩnh Phúc","Vĩnh Yên","Định Trung","0.019"
"154/4/81 Nguyễn - Phúc Chu, P15, TB, TP. Hồ Chí Minh","Hồ Chí Minh","Tân Bình","15","0.016092"
"Ấp 17 Long Trung, Cai Lậy, Tiền Giang","Tiền Giang","Cai Lậy","Mỹ Hạnh Trung","0.021688"
"Thanh Long, Yên Mỹ Hưng Yên","Hưng Yên","Yên Mỹ","Thanh Long","0.016511"
"Nam chính Tiền hải, Thái bình","Thái Bình","Tiền Hải","Nam Chính","0.017"
"Xã Mỹ Lương Yên Lập ","Yên Bái","","An Lương","0.019003"
"Thới Hòa A Thị trấn Cờ Đỏ, Cờ Đỏ, Cần Thơ","Cần Thơ","Cờ Đỏ","Cờ Đỏ","0.016999"
"X.Yên Lạc HuyệnNhu Thanh Tỉnh Thanh Hóa","Thanh Hóa","Như Thanh","Yên Lạc","0.015511"
"Thôn 16 Cư Prông, Ea Kar, Đắk Lắk","Đắk Lắk","Ea Kar","Cư Prông","0.01599"
"X Bình Thuận H.Tây Son Tỉnh Bình Định","Bình Định","Tây Sơn","Bình Thuận","0.016134"
"Thôn Đồng Lực Hoàng Lâu, Tam Dương, Vĩnh Phúc","Vĩnh Phúc","Tam Dương","Hoàng Lâu","0.016017"
"TT Tân Bình Huyện Yên Sơn, Tuyên Quang","Tuyên Quang","Yên Sơn","Thái Bình","0.016002"
"Số 7/Q3, KPI, Phường Long Bình Tân, Tp Biên Hoà, Đồng Nai.","Đồng Nai","Biên Hòa","Long Bình Tân","0.018237"
"Long Bình, An Hải, Ninh Phước, Ninh Thuận","Ninh Thuận","Ninh Phước","An Hải","0.018325"
"XãCôn Lôn,H Na Hang,TỉnhC Tuyên.Quang","Tuyên Quang","Na Hang","Côn Lôn","0.015987"
"Số 93, khu phố 9, thị trấn Hai Riêng, Sông Hinh, Phú Yên.","Phú Yên","Sông Hinh","Hai Riêng","0.017085"
" Đông Htòa Phu Yên","Phú Yên","Đông Hòa","","0.015085"
"14.5 Block A2, The Mansion, ĐS 7,KDC 13E,Ấp 5,PP,BC, TP.HCM","Hồ Chí Minh","Bình Chánh","An Phú","0.025736"
"371/11 Thoại Ngọc Hầu Hiệp Tân, Tân Phú, TP. Hồ Chí Minh","Hồ Chí Minh","Tân Phú","Hiệp Tân","0.016512"
"Công Hòa H.Kim Thành ","","Kim Thành","Cộng Hòa","0.023"
"Thái Hòa, Hợp Đồng Chương Mỹ, Hà Nội","Hà Nội","Chương Mỹ","Hợp Đồng","0.015992"
"Bương Hạ Nam, Quỳnh Ngọc Quỳnh Phụ, Thái Bình","Thái Bình","Quỳnh Phụ","Quỳnh Ngọc","0.018095"
" HuyệnThanh Miện Tỉnh Hải Dương","Hải Dương","Thanh Miện","","0.017533"
"XVnh Hung, , T.Thanh Hóa","Thanh Hóa","","Vĩnh Hưng","0.016504"
"Số 259/54/8, Tổ 28, KP1, Long Bình Tân, Biên Hòa, Đồng Nai.","Đồng Nai","Biên Hòa","Long Bình Tân","0.016701"
"XãQuỳn1 Lâm, H. Quỳnh Phụ,  Thai Bình","Thái Bình","Quỳnh Phụ","Quỳnh Lâm","0.018002"
"Số Nhà 38, Tổ 9 Tô Hiệu, Thành phố Sơn La, Sơn La","Sơn La","Sơn La","Tô Hiệu","0.016006"
"XãTrung Lập,  Vĩnh Bảo,7 ","","Vĩnh Bảo","Trung Lập","0.024004"
" Huyện Chợ gạo Tỉ,nh Tiền Giang","Tiền Giang","Cái Bè","","0.016"
"Xã C.hâu Minh, HHiệp Ha, TBắc Giang","Bắc Giang","Hiệp Hòa","Châu Minh","0.015"
" Huyện Hiêp Hòa Bắc Giang","Bắc Giang","Hiệp Hòa","","0.017512"
"Thôn Yến Thạch Xá- Thạch Thất-Hà Nội","Hà Nội","Thạch Thất","Thạch Xá","0.020026"
"Tổ 11, Ấp Tây Kim Sơn, Châu Thành, Tiền Giang","Tiền Giang","Châu Thành","Kim Sơn","0.015985"
"Số 43/7 Nguyễn Huệ, P.Sao Đỏ, TX.Chí Linh, Hải Dương","Hải Dương","Chí Linh","Sao Đỏ","0.018515"
"XThạch Xuâ,Thạch Hà,T. Hà Tĩnh","Hà Tĩnh","Thạch Hà","Thạch Xuân","0.015002"
"F An lac Chí Linh Tỉnh Hải Dương","Hải Dương","Chí Linh","An Lạc","0.015997"
"Phường Hiệ An, T.X.Kinh Môn, TỉnhHải Dương","Hải Dương","Kinh Môn","Hiệp An","0.017002"
"X.Nà Tấu, , T.Điện Biên","Điện Biên","","Nà Tấu","0.017999"
"X. TErường Thịnh,h Ứng Hòa, Hà Nội","Hà Nội","Ứng Hòa","Trường Thịnh","0.017004"
"xTân Lập, H Vũ Thư, Thái bình","Thái Bình","Vũ Thư","Tân Lập","0.016001"
"T. Phước Trạch 2 Ea Phê, Krông Păc, Đắk Lắk","Đắk Lắk","Krông Pắc","Ea Phê","0.018"
"02 Tú Xương, Đông Thọ Thành phố Thanh Hóa, Thanh Hóa","Thanh Hóa","Thanh Hóa","Đông Thọ","0.019622"
" Tam Văn  xLang Chánh  Thanh Hóa","Thanh Hóa","Lang Chánh","","0.016"
"357/28,Ng-T- Thuật,P1,Q3,TP.HồChíMinh.","Hồ Chí Minh","3","01","0.016506"
"284DBis Ng Văn Giáo, P3, Mỹ Tho, T.Giang.","Hà Giang","Hoàng Su Phì","","0.016"
"Đô xá, Dân Lực, Triệu Sơn, Thanh Hoá.","Thanh Hóa","Triệu Sơn","Dân Lực","0.016001"
"X.Đức Bác, Sông Lô,T.Vĩnh Phúc","Vĩnh Phúc","Sông Lô","Đức Bác","0.018"
"Khu 3 Suối Hoa, Thành phố Bắc Ninh, Bắc Ninh","Bắc Ninh","Bắc Ninh","Suối Hoa","0.017"
",H Krông Năng,Đắk Lắk","Đắk Lắk","Krông Năng","","0.015"
"Xã Lương Lỗ, Huyện Thanh Ba, Tỉnh Phú Thọ","Phú Thọ","Thanh Ba","Lương Lỗ","0.018"
"P.Xuân Lam, Thuận Thành, T.Bắc Ninh","Bắc Ninh","Thuận Thành","Xuân Lâm","0.017026"
"P. Minh Xuân TP. Tuyên Quang, Tuyên Quang","Tuyên Quang","Tuyên Quang","Minh Xuân","0.017001"
"Nguyễn Khuyến Thị trấn Vĩnh Trụ, Lý Nhân, Hà Nam","Hà Nam","Lý Nhân","Vĩnh Trụ","0.016"
"Sơn Hà Nho Quan, Ninh Bình","Ninh Bình","Nho Quan","Sơn Hà","0.025365"
"Quang Xá, Quang Hưng, Phù Cừ, Hưng Yên","Hưng Yên","Phù Cừ","Quang Hưng","0.016104"
"CH F1614-HH2-Khu ĐTM Dương Nội, Yên Nghĩa, Hà Đông, Hà Nội","Hà Nội","Hà Đông","Yên Nghĩa","0.016513"
"Nam hải Nam trực - Nam định","Nam Định","Nam Trực","Nam Hải","0.018553"
"F. Trần Hưng Đao,Phủ Ly,TỉnhH  Nam","Hà Nam","Phủ Lý","Trần Hưng Đạo","0.015608"
"X.Phong Dụ, , Quảng Ninh","Quảng Ninh","Uông Bí","","0.015093"
"F.Dịch Vọng  C/Giấy Thành phốHàNội","Hà Nội","Cầu Giấy","Dịch Vọng","0.015511"
" Cộng Hòa,,TỉnhHaOi Dương","Hải Dương","","Cộng Hòa","0.015002"
"XNam Cát, HuyệnNam đàn, ","","Nam Đàn","Nam Cát","0.025366"
"Phố Tân Mỹ Thị trấn Me, Gia Viễn, Ninh Bình","Ninh Bình","Gia Viễn","Me","0.015089"
"Phường Hòa Cường Nam, Quận Hải Châu, Thành phố Đà Nẵng.","Đà Nẵng","Hải Châu","Hòa Cường Nam","0.016002"
"XQuỳnh Hôi, Quỳnh Phụ, Thái Bình","Thái Bình","Quỳnh Phụ","Quỳnh Hội","0.015703"
"XãBù Gia Mập,,T Bình Phước","Bình Phước","Bù Gia Mập","Đak Ơ","0.018"
"Mỹ Hòa xã Mỹ Long, H.Cai Lậy, Tiền Giang","Tiền Giang","Cai Lậy","","0.018"
"Phường Phú Mỹ, Thà6nh phố Thủ Dầu Một, TBình Dương","Bình Dương","Thủ Dầu Một","Phú Tân","0.015003"
"Xã Cao Dương, Huyện Thanh Oai, Thành phố Hà Nội","Hà Nội","Thanh Oai","Cao Dương","0.016697"
" Thái Ha, HBa Vì, T.pHNội","Hà Nội","Ba Vì","Thái Hòa","0.015917"
", Gia Viễn, T. Ninh Binh","Ninh Bình","Gia Viễn","","0.015639"
"Phương Công,huyen Tiền Hải,T.Thái Bình","Thái Bình","Tiền Hải","Phương Công","0.01498"
"Hàng Gòn Hàng Gòn, TX.Long Khánh, Đồng Nai","Đồng Nai","Long Khánh","Hàng Gòn","0.020618"
" T.PhôSông Công t. Thái Nguyên","Thái Nguyên","Sông Công","","0.017949"
"X Lương Nghĩa,H. Long Mỹ,T. Hậu giangg","Hậu Giang","Long Mỹ","Lương Nghĩa","0.015011"
"Đức Long TP. Phan Thiết, Bình Thuận","Bình Thuận","Phan Thiết","Đức Long","0.017556"
"Bản U Gia Huổi Luông, Phong Thổ, Lai Châu","Lai Châu","Phong Thổ","Huổi Luông","0.023037"
"Xã Tân Kiên Hbình Chánh Thành phôHôChíMinh","Hồ Chí Minh","Bình Chánh","Tân Kiên","0.015987"
"- Khu B Chu Hoà, Việt HhiPhú Thọ","Phú Thọ","Việt Trì","Chu Hóa","0.018"
"X. Bản Nguyen,HuyệnLâm Thao,","","Lâm Thao","Bản Nguyên","0.022103"
"Pháp Ngỡ, Vĩnh Hòa Vĩnh Lộc, Thanh Hóa","Thanh Hóa","Vĩnh Lộc","Vĩnh Hòa","0.016094"
"P. Phong CNốc Th,ị xãQuảng Yên t. Quảng Ninh","Quảng Ninh","","Quảng Yên","0.015194"
"Tổ 03 Hòa Thọ Đông, Cẩm Lệ. Đà Nẵng.","Đà Nẵng","Cẩm Lệ","Hòa Thọ Đông","0.017002"
"Phường Yên Thanh, thành phố Uông Bí, tỉnh Quảng Ninh.","Quảng Ninh","Uông Bí","Yên Thanh","0.01691"
"XAn Thủy Huyện Lệe Thủy TQuảng Bình","Quảng Bình","Lệ Thủy","An Thủy","0.015606"
"Xan Tiến, H. An Lão, ","","An Lão","An Tiến","0.025005"
"31B Sư Vạn Hạnh, Phường 3 Quận 10, TP. Hồ Chí Minh","Hồ Chí Minh","10","","0.017997"
" Tam Amnh NZm  Núi Thành TQuảng Nam","Quảng Nam","Núi Thành","Tam Anh Nam","0.015991"
" Tam GiangNăm CănT.Cà Mau","Cà Mau","Năm Căn","Tam Giang","0.017117"
"Khu vực 1 TT Đức Hòa, Đức Hòa, Long An","Long An","Đức Hòa","Đức Hòa","0.016088"
",Lệ Thủy,T quảng BìnKh","Quảng Ninh","","Cẩm Thủy","0.0151"
"Tổ 8, Ấp An Bình Minh Hòa, Châu Thành, Kiên Giang","Kiên Giang","Châu Thành","Minh Hòa","0.015915"
"Thôn Xuân Lũng Bình Trung, Cao Lộc, Lạng Sơn","Lạng Sơn","Cao Lộc","Bình Trung","0.014996"
"  Đông Giang T Quảyg Nm","Quảng Nam","Đông Giang","","0.016"
"Hoằng Anh Thành phố Thanh Hóa, Thanh Hóa","Thanh Hóa","Thanh Hóa","Long Anh","0.015999"
"XHuy Hạ,  phù Yêu, T.Sơn La","Sơn La","Phù Yên","Huy Hạ","0.014003"
"Tổ 1, Phú trung P.An Lộc, TX.Bình Long, Bình Phước","Bình Phước","Bình Long","An Lộc","0.016954"
"Xã Nguyên Bình Huyện Tĩnh Gia, Thanh Hoá","Thanh Hóa","","Vĩnh Yên","0.021075"
"Xã Thanh Hòa, Huyện Cai Lậy, Tỉnh Tiền Giang","Tiền Giang","Cai Lậy","Thanh Hòa","0.015996"
"Thôn 3 Sơn Hải, Quỳnh Lưu, Nghệ An","Nghệ An","Quỳnh Lưu","Sơn Hải","0.016001"
"Khang Thọ Hưng Hoằng Đức, Hoằng Hóa, Thanh Hóa","Thanh Hóa","Hoằng Hóa","Hoằng Đức","0.019016"
"X. Sơn Hv HSơn Hoa Tỉnh Phú Yên","Phú Yên","Sơn Hòa","Sơn Hà","0.015513"
"Xã thanh Vĩnh Đông, HuyệnChâu Thành, TLong An","Long An","Châu Thành","Thanh Vĩnh Đông","0.016503"
"107 Lê Sao Phú Thạnh, Tân Phú, TP. Hồ Chí Minh.","Hồ Chí Minh","Tân Phú","Phú Thạnh","0.019012"
"T18,Cẩm Bình, Cẩm Phả, Quảng Ninh.","Quảng Ninh","Cẩm Phả","Cẩm Bình","0.016005"
